agent,env,team,mean,std,hash_url,hash_file,date
PPO,ays-v0,team_vanilla,99.0,0.0,https://github.com/mlap/test-rl-leaderboard/blob/e702a9809687c54a3200aa8e2238a61e7cdb0dc7/ays-v0-PPO-team_vanilla.zip,03e5cd8c7a11afbe55c62c626920340464f3ca2207dff09490de77dff1710759,2022-01-26 01:30:28.382187
SAC,fishing-v1,team_vanilla,7.756014,0.0,https://github.com/mlap/test-rl-leaderboard1/blob/614f065a97063c335a1c44588ece4409b22b805a/fishing-v1-SAC-team_vanilla.zip,d6fc8d76a073fcc72f0795e72a3c4cff6fc1f989637b3fb8b8fec9eb30b3252a,2022-01-26 01:32:01.144043
TD3,conservation-v6,team_cboettig,48.51170381,10.713837153905027,https://github.com/cboettig/rl-tipping-points/blob/99b46bcd3a72fcaa334044e273b9de69f0d9fe6f/conservation-v6-TD3-team_cboettig.zip,3664972b7c6c988cc1229b744d02af215bfbe9e695cd54a937852b1a581232d4,2022-01-26 01:34:43.078419
PPO,conservation-v6,team_cboettig,45.9468947,4.764444683727101,https://github.com/cboettig/rl-tipping-points/blob/99b46bcd3a72fcaa334044e273b9de69f0d9fe6f/conservation-v6-PPO-team_cboettig.zip,d67166f9072b6333cb6d789fcaff945ae2db63241fe465142a4f598ff3bf7ea8,2022-01-26 01:35:04.109884
ARS,conservation-v6,team_cboettig,167.89636738000002,4.278597784698026,https://github.com/cboettig/rl-tipping-points/blob/99b46bcd3a72fcaa334044e273b9de69f0d9fe6f/conservation-v6-ARS-team_cboettig.zip,216384616c7144ccc53e6cc6a85f1c7df0cd0ac77248c0c62321383a6aaf5aa0,2022-01-26 01:35:22.373327
TRPO,conservation-v6,team_cboettig,44.4042763,4.612665996973073,https://github.com/cboettig/rl-tipping-points/blob/99b46bcd3a72fcaa334044e273b9de69f0d9fe6f/conservation-v6-TRPO-team_cboettig.zip,3b9f797c1ad67389aa3021e3cb2b66119199ceb55c6163ad6c46b6dd26eda7ab,2022-01-26 01:35:48.957805
PPO,fishing-v0,team_brandon,7.769999999999997,2.6645352591003757e-15,https://github.com/Brandons42/rl-leaderboard-output-fishing-v0/blob/d18264cf5710df9f337633737f315e07e3dbf79d/fishing-v0-PPO-team_brandon.zip,a5eb841c2d2bc3f9bf76939cd3abea9208f65c3b83502a8e7564cbe2277d0b69,2022-01-26 01:48:36.692548
PPO,fishing-v1,team_brandon,7.763908,0.0,https://github.com/Brandons42/rl-leaderboard-output/blob/8d66e7a773012fd79260b4c4d8117af6a4874a6a/fishing-v1-PPO-team_brandon.zip,9ee8846c9f481dbb3ef188ad8d2bfbf695582be87951c5c495c9998c0fa5cf78,2022-02-04 06:11:32.057341
A2C,ays-v0,carl,49.0,0.0,https://github.com/cboettig/carl-climate-agents//blob/86a7a924b5545c5550e171b867afe37f00ef376b/ays-v0-A2C-carl.zip,d81f76b5241d463c3be9fbbb24cc207a01d90c9becb2a476d05a3f8f33a17ebd,2022-02-08 05:33:22.887636
A2C,conservation-v5,millie,50.73737799999999,7.105427357601002e-15,https://github.com/milliechapman/millie-conservation-agents/blob/f0369f4756c5bb5f88d907956fca1eab698e4739/conservation-v5-A2C-millie.zip,869193ceebd1095685d04e53e33f9aab1aa9ac522dbeefe324fea6c55d129550,2022-02-08 05:35:04.325917
SAC,conservation-v6,millie,45.23281614,7.8506478768651,https://github.com/milliechapman/millie-conservation-agents/blob/f0369f4756c5bb5f88d907956fca1eab698e4739/conservation-v6-SAC-millie.zip,019a41ee23bb74303fd236db41ce8cd94a07de4134da3724047db851897052ed,2022-02-08 05:35:53.879080
A2C,conservation-v6,millie,45.43127370000001,4.865877072152365,https://github.com/milliechapman/millie-conservation-agents/blob/f0369f4756c5bb5f88d907956fca1eab698e4739/conservation-v6-A2C-millie.zip,d146b6a389314648e7cfda60451d09794d326d374eb8bb6d6df691df03c99ab2,2022-02-08 05:36:34.583091
SAC,conservation-v5,millie,58.63257200000001,7.105427357601002e-15,https://github.com/milliechapman/millie-conservation-agents/blob/f0369f4756c5bb5f88d907956fca1eab698e4739/conservation-v5-SAC-millie.zip,523ced33724ba16845e4db4a44bfc767cd3e125cc3af78e078722e906a3979f2,2022-02-08 05:37:22.296892
PPO,fishing-v1,team_brandon,7.791926000000002,1.7763568394002505e-15,https://github.com/Brandons42/rl-leaderboard-output/blob/ac4c381f0d6002814ecee624a9dfb4f6d4f55012/fishing-v1-PPO-team_brandon.zip,3484637d46c49ccabc2af124d8829ad8dcb2bfe84ca52add5a830f172c319b11,2022-02-19 06:08:59.008941
A2C,fishing-v1,team_brandon_old,7.771378999999999,8.881784197001252e-16,https://github.com/Brandons42/rl-leaderboard-output/blob/ac4c381f0d6002814ecee624a9dfb4f6d4f55012/fishing-v1-A2C-team_brandon_old.zip,2292945495f0ac1c0a75e1001171860dfbc3c58c96e56b487b3ac957816f8858,2022-02-24 21:30:24.855558
PPO,fishing-v1,team_brandon_old2,7.672208999999997,2.6645352591003757e-15,https://github.com/Brandons42/rl-leaderboard-output/blob/ac4c381f0d6002814ecee624a9dfb4f6d4f55012/fishing-v1-PPO-team_brandon_old2.zip,28d25e663fbca82c91efc5ec755c0ac1909e5b8492abf3f645f2141eec094257,2022-02-24 21:30:31.379699
